1989;Earthquake;69;$6,000,000,000<br;Loma Prieta earthquake;San Francisco Bay Area, California;
1989;Cyclone;49;$7,000,000,000;Hurricane Hugo;Caribbean and Eastern North America.;Damage figure for U.S. only. At least 111 total deaths, with 37 in the continental U.S. and 12 in the U.S. possession of Puerto Rico.
;;;-1989;;;
1980;Heat wave;1,7;;1980 United States heat wave;Central and southern states;Official death toll, may have been higher
1980;Volcano;57;;1980 eruption of Mount St. Helens;Washington State;
1977;Blizzard;23;$56,250,000;Great Lakes Blizzard of 1977;New York and Ontario (esp.Buffalo, New York);
;;;-1977;;;
1976;Flood;145;;Big Thompson Canyon Flood of 1976;Colorado;
1974;Tornado;315;;1974 Super Outbreak;Ontario, Illinois, Indiana,Michigan, Ohio, Kentucky,Tennessee, Alabama,Mississippi, Georgia, North Carolina, Virginia, West Virginia and New York;148 tornadoes
1972;Flood;238;$160,000,000;1972 Rapid City Flood;Rapid City, South Dakota;Average rainfall over area of 60 mi? measured at 10-15 inches (380 mm), over 6 hours in middle of night June 9–10, 1972.
;;;-1972;;;
;;;$664,000,000;;;
;;;-2002;;;
1971;Earthquake;65;$500,000,000;Sylmar earthquake;Greater Los Angeles, California area;
1970;Tornado;26;$1,411,900,000;Lubbock Tornado;Lubbock, Texas;F5 tornado killed 26 and wounded approximately 500
;;;-2008;;;
1969;Cyclone;256;;Hurricane Camille;Mississippi, Alabama andVirginia;
1965;Tornado;271;;Palm Sunday Tornado Outbreak;Iowa, Ohio, Michigan, Indiana;78 tornadoes
1964;Tsunami andEarthquake;115;$1,800,000,000;Good Friday earthquake;Alaska, Hawaii, Oregon, California, British Columbia;
;;;-2006;;;
1960;Tsunami;61;$500,000;Great Chilean earthquake;Hawaii, Alaska;2,290 to 6,600 killed and $3,500,000,000 (2005) in damage worldwide. 61 killed in Hilo, Hawaii. $500,000 in U.S. property damage
;;;-2005;;;
1957;Tornado;10;$25,883,000;1957 Fargo tornado;Fargo, ND;
1953;Tornado;114;;;Waco, TX;
1951;Flood;28;$7,000,000,000;Great Flood of 1951;Kansas and Missouri;
;;;-2005;;;
1950;Blizzard;353;$66,700,000;Great Appalachian Storm of November 1950;Eastern US States;
;;;-1950;;;
1946;Tsunami andEarthquake;165;;Aleutian Island earthquake;Alaska and Hawaii;
1938;Cyclone;600;;Great New England Hurricane;;
1938;Flood;115;;Los Angeles Flood of 1938;Los Angeles;
1937;Flood;385;$5,000,000,000;Ohio River flood of 1937;Ohio, Kentucky, Indiana,Illinois;
1936;Flood;69;$3,000,000,000;Pittsburgh Flood 1936;Pittsburgh, Pennsylvania area;
;;;-2006;;;
1935;Cyclone;423;;Labor Day Hurricane of 1935;Florida;
1931–1939;Drought;Unknown;Unknown;Dust Bowl;Great Plains;Compounded by unsustainable agricultural techniques
1928;Cyclone;3;$800,000,000;1928 Okeechobee Hurricane;Leeward Islands, Puerto Rico, the Bahamas, and Florida;4,078+ believed dead total. About 2,500 died in Florida and 500 in the U.S. possession of Puerto Rico.
;;;-2005;;;
1927;Flood;246;$400,000,000;Great Mississippi Flood of 1927;Arkansas, Illinois, Kentucky,Louisiana, Mississippi, andTennessee;
1926;Tornado;16;;La Plata Tornado of 1926;La Plata, Maryland;13 killed in La Plata Elementary School
1925;Tornado;695–727;$1,650,000,000;Tri-State Tornado;Missouri, Illinois and Indiana(Kentucky, Tennessee);"Lower number for single 3-state tornado; higher for 5-state outbreak"
;;;-2005;;;
1919;Cyclone;600;;1919 Florida Keys Hurricane;Florida, Texas;
1918;Fire;453;$73 Million (US$1.145 Billion in 2015);1918 Cloquet Fire;Minnesota;Largest disaster in Minnesota history.
1913;Flood;428;;1913 (Ohio) Statewide Flood;Southwest, Central, and Eastern Ohio;
1913;Flood;361;;Great Dayton Flood;Dayton, Ohio;Flood was created by a series of three winter storms that hit the region in March, 1913
1913;Blizzard;250;;Great Lakes Storm of 1913;;Fatalities estimated
1913;Storm;250;$5,000,000;Great Lakes Storm of 1913;Great Lakes area;Financial impact for lost vessels and cargo only
;;;-1913;;;
1910;Avalanche;96;;Wellington avalanche;Wellington, Washington;
1906;Earthquakeand Fire (urban conflagration);3,000–6,000;;1906 San Francisco earthquake;California;"Conflagration followed quake; fatalities estimated"
1900;Cyclone;6,000–12,000;;Galveston Hurricane of 1900;Texas;Fatalities estimated – remains deadliest natural disaster in North American history.
1896;Tornado;255–400;$2,900,000,000;St. Louis-East St. Louis tornado;Missouri;
;;;-1997;;;
1894;Fire;418;$73 Million;Great Hinckley Fire;Minnesota;Actual death toll likely higher than official death toll of 418.
1893;Cyclone;2;;1893 Cheniere Caminada Hurricane;Louisiana;Fatalities estimated
1893;Cyclone;1,000–2,000;;1893 Sea Islands Hurricane;Georgia, South Carolina;Fatalities estimated
1889;Flood;2,209;$17 Million ($425 Million in 2012 dollars);Johnstown Flood;Johnstown, Pennsylvania;A dam failure caused 20 million tons of water to be unleashed, devastating Johnstown, PA and the surrounding area.
1888;Blizzard;400;;Great Blizzard of 1888;Northeast;Fatalities estimated
1888;Cold wave;Unknown;;1888 Northwest Cold Wave;Northwest;
1871;Fire;1,500-2,500;;Peshtigo Fire;Wisconsin;Deadliest firestorm in United States history.
1816;Famine(caused byvolcano);Unknown;;Year Without a Summer;;Volcanic dust from a massive eruption by Mount Tambora in theDutch East Indies (present Indonesia) in 1815 led to an abnormally cold summer in 1816 in the northeastern United States and eastern Canada. Cold weather inhibited crops, and frosts and snowstormskilled what did grow, leading to a localized famine.
